target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,Features_count,feature_set,TFIDF_features,balanced,accuracy,precision,recall,F1,AUC
local:judge,2,80,80,0,80,K-Fold,5,LogReg,3,"name_language,bio_language,location_language",,True,0.85,0.85,0.85,0.85,0.888
local:judge,2,80,80,0,80,LOOCV,,LogReg,3,"name_language,bio_language,location_language",,True,0.812,0.812,0.812,0.812,0.909
local:judge,2,158,80,0,80,K-Fold,5,LogReg,3,"name_language,bio_language,location_language",,False,0.882,0.919,0.713,0.803,0.913
local:judge,2,158,80,0,80,LOOCV,,LogReg,3,"name_language,bio_language,location_language",,False,0.887,0.921,0.725,0.811,0.901
local:judge,2,80,80,0,80,K-Fold,5,Decision Tree,3,"name_language,bio_language,location_language",,True,0.869,0.904,0.825,0.863,0.912
local:judge,2,80,80,0,80,LOOCV,,Decision Tree,3,"name_language,bio_language,location_language",,True,0.869,0.873,0.863,0.868,0.843
local:judge,2,158,80,0,80,K-Fold,5,Decision Tree,3,"name_language,bio_language,location_language",,False,0.895,0.857,0.825,0.841,0.918
local:judge,2,158,80,0,80,LOOCV,,Decision Tree,3,"name_language,bio_language,location_language",,False,0.903,0.88,0.825,0.852,0.902
local:judge,2,80,80,0,80,K-Fold,5,Random Forest,3,"name_language,bio_language,location_language",,True,0.85,0.85,0.85,0.85,0.93
local:judge,2,80,80,0,80,LOOCV,,Random Forest,3,"name_language,bio_language,location_language",,True,0.887,0.931,0.838,0.882,0.945
local:judge,2,158,80,0,80,K-Fold,5,Random Forest,3,"name_language,bio_language,location_language",,False,0.874,0.857,0.75,0.8,0.943
local:judge,2,158,80,0,80,LOOCV,,Random Forest,3,"name_language,bio_language,location_language",,False,0.874,0.829,0.787,0.808,0.937
local:judge,2,80,80,0,80,K-Fold,5,SVM,3,"name_language,bio_language,location_language",,True,0.856,0.828,0.9,0.862,0.937
local:judge,2,80,80,0,80,LOOCV,,SVM,3,"name_language,bio_language,location_language",,True,0.838,0.846,0.825,0.835,0.905
local:judge,2,158,80,0,80,K-Fold,5,SVM,3,"name_language,bio_language,location_language",,False,0.828,0.71,0.825,0.763,0.891
local:judge,2,158,80,0,80,LOOCV,,SVM,3,"name_language,bio_language,location_language",,False,0.849,0.762,0.8,0.78,0.882
local:judge,2,80,80,0,80,K-Fold,5,XGBoost,3,"name_language,bio_language,location_language",,True,0.894,0.899,0.887,0.893,0.929
local:judge,2,80,80,0,80,LOOCV,,XGBoost,3,"name_language,bio_language,location_language",,True,0.869,0.883,0.85,0.866,0.934
local:judge,2,158,80,0,80,K-Fold,5,XGBoost,3,"name_language,bio_language,location_language",,False,0.853,0.869,0.662,0.752,0.889
local:judge,2,158,80,0,80,LOOCV,,XGBoost,3,"name_language,bio_language,location_language",,False,0.874,0.917,0.688,0.786,0.853
local:judge,2,80,80,0,80,K-Fold,5,AdaBoost,3,"name_language,bio_language,location_language",,True,0.856,0.88,0.825,0.852,0.905
local:judge,2,80,80,0,80,LOOCV,,AdaBoost,3,"name_language,bio_language,location_language",,True,0.838,0.865,0.8,0.831,0.918
local:judge,2,158,80,0,80,K-Fold,5,AdaBoost,3,"name_language,bio_language,location_language",,False,0.874,0.917,0.688,0.786,0.844
local:judge,2,158,80,0,80,LOOCV,,AdaBoost,3,"name_language,bio_language,location_language",,False,0.874,0.917,0.688,0.786,0.686
